no,area,genre,name,is_large_store,ticket_type,map_query
720,牧園,宿泊・温泉,祝橋温泉旅館,False,全券利用可（14枚）,祝橋温泉旅館 霧島市 牧園
721,牧園,その他,USUKIYA＜ウスキヤ＞,False,全券利用可（14枚）,USUKIYA＜ウスキヤ＞ 霧島市 牧園
722,牧園,宿泊・温泉,AUBEGIO霧島観光ホテル,False,全券利用可（14枚）,AUBEGIO霧島観光ホテル 霧島市 牧園
723,牧園,雑貨・花・ギフト,おやど 花みずき,False,全券利用可（14枚）,おやど 花みずき 霧島市 牧園
724,牧園,宿泊・温泉,おりはし旅館,False,全券利用可（14枚）,おりはし旅館 霧島市 牧園
725,牧園,サービス,木下商店,False,全券利用可（14枚）,木下商店 霧島市 牧園
726,牧園,レジャー・観光,霧島公園タクシー,False,全券利用可（14枚）,霧島公園タクシー 霧島市 牧園
727,牧園,レジャー・観光,霧島高原国民休養地,False,全券利用可（14枚）,霧島高原国民休養地 霧島市 牧園
728,牧園,宿泊・温泉,霧島国際ホテル,False,全券利用可（14枚）,霧島国際ホテル 霧島市 牧園
729,牧園,レジャー・観光,霧島ゴルフクラブ,False,全券利用可（14枚）,霧島ゴルフクラブ 霧島市 牧園
730,牧園,その他,霧島市営 関平鉱泉所,False,全券利用可（14枚）,霧島市営 関平鉱泉所 霧島市 牧園
731,牧園,車・バイク・ガソリン,霧島石油,False,全券利用可（14枚）,霧島石油 霧島市 牧園
732,牧園,車・バイク・ガソリン,霧島パークSS,False,全券利用可（14枚）,霧島パークSS 霧島市 牧園
733,牧園,雑貨・花・ギフト,霧島 花紫,False,全券利用可（14枚）,霧島 花紫 霧島市 牧園
734,牧園,その他,霧島ふもとの駅,False,全券利用可（14枚）,霧島ふもとの駅 霧島市 牧園
735,牧園,宿泊・温泉,霧島ホテル,False,全券利用可（14枚）,霧島ホテル 霧島市 牧園
736,牧園,その他,霧島ゆめのや,False,全券利用可（14枚）,霧島ゆめのや 霧島市 牧園
737,牧園,飲食店,くいもんや花いちもんめ,False,全券利用可（14枚）,くいもんや花いちもんめ 霧島市 牧園
738,牧園,その他,クリーンマートあべ,False,全券利用可（14枚）,クリーンマートあべ 霧島市 牧園
739,牧園,家電・ホームセンター,コメリハード＆グリーン 牧園店,False,全券利用可（14枚）,コメリハード＆グリーン 牧園店 霧島市 牧園
740,牧園,その他,サコー,False,全券利用可（14枚）,サコー 霧島市 牧園
741,牧園,その他,さつま路,False,全券利用可（14枚）,さつま路 霧島市 牧園
742,牧園,その他,幸せ茶ン。,False,全券利用可（14枚）,幸せ茶ン。 霧島市 牧園
743,牧園,宿泊・温泉,塩浸温泉龍馬公園,False,全券利用可（14枚）,塩浸温泉龍馬公園 霧島市 牧園
